-268, -8, -57, 385, 362, 378, 27290
-268, -8, -57, 386, 362, 379, 27290
-263, -7, -61, 385, 362, 379, 27290
-263, -7, -61, 385, 361, 380, 27290
-263, -7, -61, 385, 361, 380, 27290
-257, -7, -69, 386, 361, 379, 27290
-257, -7, -69, 385, 361, 378, 27290
-257, -7, -69, 385, 361, 376, 27290
-256, -10, -74, 385, 362, 377, 27290
-256, -10, -74, 385, 362, 376, 27290
-256, -10, -74, 386, 363, 376, 27290
-257, -10, -79, 387, 365, 375, 27290
-257, -10, -79, 390, 368, 379, 27290
-257, -10, -79, 389, 367, 375, 27290
-257, -11, -78, 388, 368, 376, 27290
-257, -11, -78, 387, 368, 376, 27290
-257, -11, -78, 388, 368, 375, 27290
-257, -10, -79, 389, 370, 374, 27290
-257, -10, -79, 389, 370, 374, 27290
-257, -10, -79, 390, 372, 373, 27290
-261, -10, -74, 389, 373, 373, 27290
-261, -10, -74, 389, 373, 372, 27290
-261, -10, -74, 388, 374, 373, 27290
-267, -11, -68, 388, 373, 374, 27290
-267, -11, -68, 387, 371, 375, 27290
-267, -11, -68, 387, 371, 377, 27290
-268, -8, -65, 386, 370, 378, 27290
-268, -8, -65, 384, 368, 380, 27290
-268, -8, -65, 381, 367, 380, 27290
-262, -9, -66, 378, 367, 379, 27290
-262, -9, -66, 376, 367, 378, 27290
-262, -9, -66, 376, 366, 378, 27290
-253, -12, -71, 379, 369, 380, 27290
-253, -12, -71, 375, 367, 376, 27290
-253, -12, -71, 376, 368, 375, 27290
-255, -12, -73, 376, 368, 374, 27290
-255, -12, -73, 375, 368, 374, 27290
-255, -12, -73, 374, 370, 373, 27290
-258, -10, -72, 373, 370, 373, 27290
-258, -10, -72, 371, 371, 373, 27290
-258, -10, -72, 370, 372, 372, 27290
-260, -9, -70, 370, 373, 372, 27290
-260, -9, -70, 369, 372, 372, 27290
-260, -9, -70, 368, 373, 372, 27290
-259, -9, -63, 368, 373, 372, 27290
-259, -9, -63, 367, 373, 372, 27290
-259, -9, -63, 366, 372, 373, 27290
-256, -12, -64, 366, 370, 373, 27290
-256, -12, -64, 367, 369, 372, 27290
-256, -12, -64, 366, 369, 371, 27290
-256, -8, -63, 364, 368, 371, 27290
-255, -8, -63, 363, 369, 371, 27290
-255, -8, -63, 364, 373, 373, 27290
-255, -8, -61, 361, 370, 369, 27290
-259, -10, -61, 360, 370, 369, 27290
-259, -10, -61, 361, 371, 369, 27290
-259, -10, -62, 361, 370, 369, 27290
-266, -10, -62, 360, 370, 369, 27290
-266, -10, -62, 359, 371, 370, 27290
-266, -10, -62, 357, 370, 371, 27290
-270, -8, -58, 356, 370, 371, 27290
-270, -8, -58, 355, 370, 372, 27290
-270, -8, -58, 354, 370, 373, 27290
-269, -9, -54, 353, 369, 373, 27290
-269, -9, -54, 352, 369, 373, 27290
-269, -9, -54, 351, 369, 374, 27290
-265, -11, -52, 350, 368, 374, 27290
-265, -11, -52, 350, 367, 374, 27290
-265, -11, -52, 350, 366, 374, 27290
-260, -9, -55, 349, 365, 374, 27290
-260, -9, -55, 348, 365, 373, 27290
-260, -9, -55, 350, 367, 376, 27290
-260, -11, -56, 347, 368, 376, 27290
-260, -11, -56, 344, 365, 373, 27290
-260, -11, -56, 343, 366, 373, 27290
-258, -9, -56, 341, 367, 373, 27290
-258, -9, -56, 339, 368, 372, 27290
-258, -9, -56, 337, 368, 372, 27290
-257, -7, -50, 333, 369, 372, 27290
-257, -7, -50, 328, 369, 371, 27290
-257, -7, -50, 322, 370, 370, 27290
-260, -11, -43, 318, 371, 370, 27290
-260, -11, -43, 315, 371, 369, 27290
-260, -11, -43, 310, 370, 368, 27290
-267, -14, -33, 302, 371, 368, 27290
-267, -14, -33, 299, 370, 367, 27290
-267, -14, -33, 301, 369, 367, 27290
-265, -13, -45, 305, 368, 367, 27290
-265, -13, -45, 307, 367, 366, 27290
-265, -13, -45, 307, 364, 366, 27290
-263, -18, -45, 309, 363, 367, 27290
-263, -18, -45, 313, 365, 370, 27290
-263, -18, -45, 313, 364, 366, 27290
-259, -12, -47, 313, 363, 366, 27290
-259, -12, -47, 316, 365, 366, 27290
